agent,size,dirt,size_value,time,performance
random,32x32,0.99,5.0,1000.0,0.0897643212477668
random,4x4,0.0,2.0,0.0,1.0
random,4x4,0.01,2.0,20.785,1.0
random,4x4,0.02,2.0,37.845,1.0
random,4x4,0.03,2.0,65.843,1.0
random,4x4,0.04,2.0,75.608,0.999
random,4x4,0.05,2.0,91.493,0.9985
random,4x4,0.06,2.0,109.141,0.999
random,4x4,0.07,2.0,119.443,0.9981666666666666
random,4x4,0.08,2.0,139.448,0.99925
random,4x4,0.09,2.0,154.935,0.9995
random,4x4,0.1,2.0,160.002,1.0
random,4x4,0.11,2.0,179.45,0.9993333333333334
random,4x4,0.12,2.0,194.56,0.9985
random,4x4,0.13,2.0,190.062,1.0
random,4x4,0.14,2.0,208.945,0.99975
random,4x4,0.15,2.0,219.626,0.99825
random,4x4,0.16,2.0,213.969,0.9991333333333333
random,4x4,0.17,2.0,239.559,0.9973333333333334
random,4x4,0.18,2.0,244.639,0.9995
random,4x4,0.19,2.0,243.763,0.998625
random,4x4,0.2,2.0,259.237,0.9985499999999999
random,4x4,0.21,2.0,267.154,0.999
random,4x4,0.22,2.0,273.987,0.99825
random,4x4,0.23,2.0,277.268,0.9998571428571429
random,4x4,0.24,2.0,290.086,0.9990821428571429
random,4x4,0.25,2.0,283.73,0.9989166666666667
random,4x4,0.26,2.0,297.788,0.9989583333333334
random,4x4,0.27,2.0,301.28,0.9978916666666666
random,4x4,0.28,2.0,302.544,0.9980904761904762
random,4x4,0.29,2.0,309.667,0.9981
random,4x4,0.3,2.0,320.626,0.9992559523809524
random,4x4,0.31,2.0,308.766,0.9983757936507937
random,4x4,0.32,2.0,316.538,0.9991571428571429
random,4x4,0.33,2.0,334.038,0.9979904761904762
random,4x4,0.34,2.0,336.542,0.9991583333333333
